"","Percentage_positive"
"AC092652.2",0.1
"AC009951.6",0
"AC009480.1",0
"AC105402.3",0.1
"AC105402.4",0
"LINC01931",0.1
"AC013731.1",0
"AC008277.1",0
"AC009961.4",0
"CERKL",0
"AC009962.1",0
"DUSP19",0.2
"FAM171B",0.1
"MSTN",0
"AC073973.1",0.1
"LINC01790",0.2
"FTCDNL1",0.1
"AC012459.1",0.1
"RAPH1",0.1
"AC007879.3",0.1
"IDH1-AS1",0
"AC068051.1",0.2
"VWC2L",0
"LINC00607",0
"PLCD4",0.1
"WNT6",0
"AC097468.4",0
"TMEM198",0
"AC073641.1",0.1
"FAM124B",0
"LINC01807",0
"AC010149.1",0
"GCSIR",0
"GPR55",0
"HTR2B",0
"ECEL1",0
"CHRNG",0
"KCNJ13",0
"SNORC",0
"RAMP1",0.1
"LINC02610",0
"AC005237.1",0.1
"ANO7",0.1
"CHL1-AS1",0
"AC023480.1",0.1
"AC018816.1",0
"GRM7-AS1",0
"AC026191.1",0.1
"LHFPL4",0
"AC022382.2",0
"LINC02022",0
"GALNT15",0.1
"AC090948.1",0.1
"AC090948.3",0
"PLCL2-AS1",0
"THRB",0.1
"SUSD5",0
"FBXL2",0
"LINC02033",0.1
"AC099541.1",0
"CCDC13",0.1
"ZNF662",0.1
"CCR1",0
"PRSS45P",0
"MYL3",0
"CSPG5",0.1
"PFKFB4",0
"LSMEM2",0
"HYAL3",0.1
"CACNA2D3",0
"LRTM1",0
"AC012557.2",0.1
"ADAMTS9-AS2",0
"AC097369.2",0
"LINC00960",0
"LINC00971",0.1
"OR5H14",0.1
"AC069222.1",0
"AC129803.1",0
"ZBTB20-AS1",0.1
"ZBTB20-AS3",0
"SLC12A8",0
"AC112484.5",0
"LINC02014",0
"AC022296.4",0
"NME9",0.1
"ESYT3",0
"CP",0.1
"AC117395.1",0.1
"GPR171",0
"AC026347.1",0
"VEPH1",0
"PTX3",0
"LINC01326",0.1
"LRRIQ4",0
"SLC7A14-AS1",0
"PEX5L",0.1
"AC107294.2",0.1
"AC099661.1",0
"CLDN16",0
"OPA1-AS1",0
"SMCO1",0
"AC139887.4",0.1
"AC092535.5",0
"NAT8L",0
"POLN",0.1
"AL121750.1",0
"LINC02498",0.1
"AC108063.2",0
"AC021148.2",0
"AC131953.2",0
"AC107398.3",0
"AC027271.1",0
"AC023154.1",0
"AC110792.3",0
"AC110792.2",0.1
"TMPRSS11A",0
"PARM1",0.1
"TMEM150C",0
"PIGY-DT",0
"ADH4",0
"ADH6",0
"MTTP",0.1
"UBE2D3-AS1",0
"AC004069.1",0
"TET2-AS1",0
"RPL34-AS1",0.1
"AC004067.1",0.1
"AC093879.1",0
"BBS12",0.1
"SNHG27",0
"AC096711.2",0
"MGARP",0
"GYPE",0
"AC108935.1",0.1
"AC097467.3",0
"FAM218A",0.1
"ANXA10",0
"STOX2",0
"TPPP",0.1
"AC139792.1",0.1
"SLC1A3",0.1
"OSMR",0
"SELENOP",0
"AC022126.1",0
"AC008966.1",0
"AC026704.1",0
"AC104113.1",0
"AC092354.1",0
"AC025176.1",0
"AC010273.2",0
"MARVELD2",0.1
"AC025774.1",0
"AC010245.1",0
"AC026774.1",0
"F2RL2",0.2
"THBS4",0
"AC108102.1",0
"AC099501.1",0
"LINC01340",0.1
"NUDT12",0
"AC093206.1",0
"SLC22A4",0
"AC004039.1",0
"AC010307.2",0
"AC010307.3",0
"PITX1",0
"SMAD5-AS1",0.1
"REEP2",0.1
"MATR3",0.1
"AC008667.4",0
"SLC25A2",0.1
"ARAP3",0
"AC137770.1",0
"PLAC8L1",0
"AC011370.1",0.1
"AC114939.1",0.1
"AFAP1L1",0
"ZNF300",1.6
"SLC36A2",0
"AC011337.1",0
"AC011374.2",0
"AC008625.1",0.1
"ZBED8",0
"AC008680.1",0
"INSYN2B",0.1
"LINC01484",0
"LINC01411",0
"AC008443.3",0
"AL031770.1",0.1
"FAM50B",0.1
"AL359643.3",0.1
"AL139390.1",0.1
"AL024498.1",0
"AL357497.1",0
"AL023583.1",0
"AL009177.1",0
"AL031775.2",0
"ARMH2",0.1
"U91328.2",0
"ZSCAN23",0
"ZFP57",0.1
"LY6G5C",0.1
"AL662884.3",0
"AL138889.1",0
"AL157823.2",0
"Z85996.3",0.1
"PI16",0
"KCNK5",0
"KCNK17",0.1
"APOBEC2",0
"FOXP4-AS1",0
"CRIP3",0.1
"DLK2",0.1
"AL136131.3",0
"AL109615.2",0
"RAB23",0
"AL445250.1",0
"AL646090.2",0
"KCNQ5-AS1",0.1
"AL603910.1",0
"FILIP1",0
"LINC02540",0.1
"AL359715.3",0
"AL359715.2",0
"AL122017.1",0
"LINC02857",0
"GJB7",0
"AL121787.1",0.1
"UFL1-AS1",0.1
"LINC02526",0.1
"Z98200.1",0
"AL512303.1",0
"LAMA4",0
"AL357141.1",0.1
"PLN",0
"PKIB",0.1
"AL512283.2",0
"RNF217-AS1",0
"HEY2",0
"AL356124.1",0.1
"ARG1",0
"VNN3",0
"SLC2A12",0
"AL355881.1",0.1
"AL353596.1",0.1
"AL078581.4",0
"AL596202.1",0.1
"AL355297.2",0
"AL391863.2",0
"SLC22A1",0.1
"PACRG",0.1
"AL354892.2",0
"AC093734.1",0
"AC104129.1",0
"AC079742.1",0
"COL28A1",0
"AC006042.4",0
"AC007029.1",0
"AC013470.2",0
"AC005014.2",0
"AC073333.1",0
"AC005165.1",0.1
"HOXA4",0
"AC006027.1",0
"FKBP9",0
"AC007349.4",0
"ELMO1-AS1",0.1
"ADCY1",0
"AC092634.4",0
"AC104073.4",0
"CLDN3",0.1
"CLDN4",0
"METTL27",0.1
"AC002076.1",0
"AC003092.2",0
"AC004834.1",0
"AC004522.4",0.1
"AC005096.1",0
"AC005086.2",0
"AC105052.5",0
"AC073073.2",0.1
"AC005050.1",0.1
"LINC01393",0
"AC073130.2",0
"ANKRD7",0
"PRRT4",0
"AC009275.1",0
"SLC13A4",0
"AC091736.1",0
"DGKI",0
"TRBV29-1",0
"PRSS1",0.1
"TRBV30",0
"TMEM139",0
"OR2A25",0.2
"AC004877.1",0
"AC005586.2",0.1
"TMEM176B",0.1
"TMEM176A",0.1
"AC093726.2",0
"MNX1",0
"MNX1-AS2",0
"TDRP",0
"AC245187.2",0.1
"AC115485.1",0.1
"CSMD1",0.2
"AC103957.2",0
"AC114550.1",0
"PRSS51",0
"FAM66A",0
"AC087203.3",0
"AC130352.1",0
"AC079193.2",0
"MTMR7",0
"AC025062.3",0
"AC100800.1",0.1
"AC100849.2",0.1
"NPM2",0
"AC055854.1",0
"AC090197.1",0
"AC011726.3",0
"PNMA2",0.2
"AC013643.2",0
"SMIM18",0
"AC084024.3",0
"AC087623.1",0
"AC009630.2",0.1
"AC120036.4",0
"AC026904.1",0.1
"AC009646.2",0
"AC100821.2",0
"RP1",0.1
"AC113143.1",0
"NKAIN3",0
"AC120042.1",0.1
"LINC01289",0
"AC055822.1",0.1
"MSC-AS1",0.2
"TRPA1",0
"AC036214.1",0
"AC079209.2",0
"CNGB3",0
"AC104211.1",0.1
"AC068189.2",0
"AC083836.1",0
"AC016877.1",0
"AC018442.2",0
"AP002907.1",0
"BAALC-AS1",0.1
"CTHRC1",0
"AC012213.3",0
"AC087620.1",0
"AC090994.1",0.1
"AP005717.1",0
"DEPTOR",0
"AC090192.2",0
"AC108925.1",0.1
"AF230666.2",0
"CCN4",0
"AC011676.2",0
"AC100803.4",0.1
"C8orf31",0.1
"SPATC1",0
"AC109322.1",0.1
"TMEM249",0
"PGM5P3-AS1",0
"IGHEP2",0
"INSL6",0.1
"RLN1",0
"AL513412.1",0.1
"AL159169.3",0
"AL391834.1",0.1
"AL359922.2",0.1
"LRRC19",0
"PTENP1-AS",0
"AL354989.1",0
"CCIN",0
"BX255923.1",0
"BX255923.2",0
"BX005266.2",0.1
"AL354733.1",0.1
"GOLM1",0.1
"SHC3",0.1
"ECM2",0.1
"AL161729.2",0
"AL133477.3",0
"GABBR2",0
"EPB41L4B",0.2
"AL390067.1",0
"TNFSF15",0
"AL596244.1",0
"AL162724.2",0.1
"AL445222.1",0.1
"AL359091.4",0
"AL356481.1",0.1
"AL592211.1",0.1
"AL158151.4",0
"AL158151.3",0
"AL158151.1",0
"AL353803.4",0.1
"AL391056.2",0
"LINC02247",0
"C8G",0
"FUT7",0
"LINC00200",0.1
"ADARB2-AS1",0
"MANCR",0
"AL583859.3",0
"AL136320.1",0
"MEIG1",0
"OLAH",0.1
"AC069542.1",0
"AL450384.1",0
"AL356113.1",0.2
"LINC00837",0
"MACORIS",0
"ZNF25-DT",0
"AL133216.1",0
"ZNF239",0
"SYT15",0.1
"AL356056.1",0.1
"A1CF",0
"AC073174.1",0
"TSPAN15",0
"LRRC20",0.1
"AC016542.1",0
"AC022540.1",0.1
"AC018511.2",0
"AL450306.1",0
"LINC02679",0
"AL132656.2",0
"PLAC9",0
"ACTA2-AS1",0.1
"CH25H",0
"SLC16A12",0
"AL359198.1",0.1
"LGI1",0
"AL139124.1",0
"MORN4",0.1
"CNNM1",0
"AL133353.1",0
"AL138921.2",0
"PAX2",0
"AL121929.2",0.2
"AL353740.1",0.1
"PLEKHS1",0.1
"AFAP1L2",0.2
"AC022395.1",0.1
"AL731566.2",0.1
"BTBD16",0
"CUZD1",0
"AL158835.2",0
"AL355531.1",0
"EBF3",0.1
"AC136475.9",0
"CEND1",0
"ASCL2",0.2
"OR52A1",0.1
"OR51B5",0
"OR51I1",0
"AC091564.4",0
"OR2AG2",0
"OR10A2",0
"OLFML1",0.1
"CSNK2A3",0
"AC023946.1",0
"MRGPRX3",0
"SAA2",0.1
"AC131571.1",0.1
"PAX6",0.1
"DEPDC7",0
"CD44-AS1",0.1
"AL133330.2",0
"LDLRAD3",0.1
"AC134775.1",0
"AC024475.3",0
"NR1H3",0.1
"MYBPC3",0.1
"AC090559.1",0.1
"AP003557.2",0.1
"MS4A8",0.1
"LRRC10B",0.1
"RAB3IL1",0
"LRRN4CL",0.1
"CDC42EP2",0.1
"OVOL1",0
"AP001107.4",0
"PC",0
"AP005233.1",0
"AP005019.1",0
"ARAP1-AS2",0
"AP002761.2",0
"AQP11",0
"AP002812.5",0.1
"AP003110.1",0
"AP003120.1",0.2
"HEPHL1",0
"GPR83",0
"KDM4D",0
"AP000820.1",0
"YAP1",0
"ZC3H12C",0
"C11orf53",0.1
"AP002448.1",0
"IL18",0
"AP002884.3",0.1
"NCAM1",0
"AP000880.1",0
"TMPRSS5",0.1
"UPK2",0
"AP003393.1",0
"SCN3B",0
"TMEM45B",0.1
"AC005841.1",0
"CCND2-AS1",0
"AC005833.2",0
"AC006064.1",0
"GNB3",0
"AC092111.1",0
"FAM90A1",0
"AC092745.5",0.1
"MFAP5",0
"TAS2R10",0
"PRH2",0
"TAS2R50",0
"TAS2R20",0.1
"PRB3",0
"GSG1",0.1
"ART4",0
"IAPP",0
"AC053513.2",0.1
"AC092794.2",0
"AC024145.1",0
"AC024896.1",0
"AC009318.4",0.1
"AC009318.2",0.1
"DDX11-AS1",0
"AC024940.6",0
"AC079601.1",0
"AC009248.2",0
"SLC38A4",0
"LINC02156",0
"C12orf54",0
"SCAT2",0.1
"AC079313.2",0
"METTL7B",0
"KIF5A",0
"AC078789.1",0
"HMGA2-AS1",0
"AC025569.1",0.1
"AC010201.2",0
"LINC02822",0
"DCN",0
"AC025164.2",0.1
"AC123567.2",0
"AC073655.1",0
"AC073655.2",0.1
"NTN4",0
"AMDHD1",0.1
"AC079907.1",0.1
"AC068643.1",0.1
"AC084364.3",0
"AC007695.1",0
"AC084876.1",0
"LINC02356",0
"AC073863.1",0
"SIRT4",0
"AC069209.2",0
"AC069503.1",0.1
"HCAR3",0
"DNAH10",0.2
"AC068790.7",0.2
"AC068790.4",0.1
"AC068790.2",0.1
"AC068790.9",0
"AC137590.1",0
"LINC00349",0
"IL17D",0
"SACS-AS1",0.1
"AMER2",0
"GPR12",0
"LINC00545",0
"FRY-AS1",0.1
"AL390071.1",0
"CCNA1",0.1
"SERP2",0
"AL157369.1",0
"FAM124A",0.1
"PCDH8",0
"OLFM4",0.1
"AC001226.1",0.1
"AL354811.1",0
"DCT",0
"AL161430.1",0
"AL136526.1",0
"AL355075.3",0
"AL161668.3",0.1
"AL132780.1",0.1
"AL132780.2",0
"SLC7A8",0.1
"TSSK4",0
"TGM1",0
"AL049830.3",0
"LINC02315",2.5
"TRIM9",0
"AL358333.3",0.1
"AL352979.2",0
"AL158801.3",0
"LRRC9",0
"GPX2",0
"AL139022.2",0
"AL391261.2",0
"AL391261.4",0
"AL157997.1",0
"AL049835.1",0
"ADAM20",0.1
"AC004846.2",0.2
"ACOT1",0
"AC005519.1",0.1
"FLVCR2",0
"VASH1",0.1
"LINC02288",0.1
"C14orf178",0
"AL138478.1",0
"GPR68",0
"AL135818.1",0.1
"AL135818.2",0
"GSC",0.3
"AL133467.4",0
"AL118558.4",0
"AL139300.2",0.1
"ADSSL1",0.1
"AHNAK2",0
"IGHV1-2",0.1
"IGHV4-4",0
"IGHV3-7",0
"IGHV3-21",0.8
"IGHV3-22",0
"IGHV4-31",0
"IGHV1-69",0.1
"OTUD7A",0
"SCG5",0
"RYR3",0.1
"AC020661.1",0
"CHAC1",0
"AC073657.1",0
"EHD4-AS1",0
"AC090510.4",0
"AC068724.3",0
"SERINC4",0
"AC025043.1",0
"AC068722.2",0.1
"AC022306.2",0
"FGF7",0
"AC012170.3",0
"AC012170.2",0
"AC026770.1",0
"AC090971.1",0.1
"AC090970.2",0.1
"AC025917.1",0
"ONECUT1",0
"AC084782.1",0
"CGNL1",0
"MYZAP",0
"AC018904.1",0
"AC009560.4",0
"AC009554.1",0
"AC103740.1",0
"AC100830.2",0.1
"AC103691.2",0
"SMAD6",0
"SKOR1",0.1
"THAP10",0
"NR2E3",0.1
"AC010931.2",0
"AC100835.2",0.1
"CPLX3",0
"SNX33",0.1
"ISL2",0
"AC046168.2",0
"CHRNA5",0.1
"MINAR1",0
"FSD2",0.1
"AC103876.1",0
"AC103871.1",0.1
"PEX11A",0
"AC021422.1",0
"AC124248.2",0.1
"AC068831.4",0.1
"AC104035.1",0
"AC015574.1",0
"FBXL16",0
"LMF1-AS1",0
"ABCA3",0
"NTN3",0
"AC003965.1",0
"AC004233.3",0
"LINC00514",0.1
"AC108134.3",0
"AC074051.5",0.1
"LINC02177",0
"AC009121.3",0
"AC007601.1",0
"AC010401.1",0
"NPIPA3",0
"NPIPA2",0
"AC138932.2",0
"AC026401.1",0
"NPIPA8",0
"NPIPA9",0
"TMC5",0.1
"GP2",0
"AC004381.1",0
"DNAH3",0
"AC008551.1",0.1
"AC109449.1",0
"AC002551.1",0.1
"AC016597.1",0
"AC009093.6",0
"AC012645.2",0.1
"AC106886.3",0.1
"STX1B",0
"AC026471.3",0
"AC002519.1",0
"AC133485.7",0
"AC092368.3",0.1
"AC007533.1",0.1
"AC026470.2",0
"AC007611.1",0
"NKD1",0.1
"AC007608.3",0.1
"AC007728.1",0.1
"AC007496.2",0
"AC007496.1",0
"AC009090.3",0
"CCL17",0.1
"TEPP",0
"B3GNT9",0
"AGRP",0.1
"LCAT",0.1
"AC020978.5",0.1
"PDF",0
"NQO1",0
"AC012184.4",0
"AC009075.1",0
"AC004158.1",0.1
"AC004943.1",0.1
"AC009163.4",0.1
"AC046158.1",0.1
"AC046158.2",0
"AC092142.2",0.1
"CDH13",0
"ATP2C2",0
"CRISPLD2",0
"AC018695.2",0
"AC009108.3",0
"AC010531.7",0
"AC010531.5",0.1
"IL17C",0
"CPNE7",0
"DPEP1",0
"AC130343.1",0
"AC006435.2",0.1
"AC087292.1",0.1
"ALOX15",0
"AC091153.3",0
"SLC52A1",0.1
"WSCD1",0
"PIMREG",0.1
"AC004706.1",0.1
"FBXO39",0
"TEKT1",0
"NLGN2",0
"SOX15",0
"AC002091.2",0.1
"AC005695.2",0
"AC002347.1",0.1
"AC015908.2",0
"AC005410.2",0
"HS3ST3A1",0
"AC005304.3",0.1
"AC122129.1",0.1
"AC007952.2",0.1
"AC007952.6",0.1
"AC138761.1",0
"SLC46A1",0.1
"AC010761.3",0
"AC024267.4",0
"AC104984.2",0
"AC104984.1",0
"AC130324.3",0
"OMG",0.1
"AC003101.2",0
"AC004253.1",0
"AC004223.2",0.1
"AC243829.4",0
"AC243830.2",0
"AC243654.1",0
"AC005288.1",0
"ZPBP2",0
"KLHL10",0.1
"AC099811.4",0
"AC099811.5",0.1
"RAMP2",0
"PTGES3L",0
"ADAM11",0
"AC091132.1",0
"AC002558.2",0
"AC068234.2",0
"AC015674.1",0
"AC004477.3",0
"SKAP1-AS1",0.1
"THRA1/BTR",0.1
"HOXB7",0
"AC091180.3",0
"DLX4",0
"AC015909.3",0
"AC007638.2",0
"NOG",0
"CUEDC1",0
"AC100832.2",0
"AC080038.2",0
"PRR29",0
"AC103810.2",0
"AC110921.1",0
"SMIM5",0.1
"AANAT",0
"AC021683.5",0
"DNAH17",0.1
"AC016245.1",0.1
"PPP1R27",0
"AC145207.3",0
"AC145207.6",0
"NPB",0
"AC130371.2",0
"TUBB8P12",0
"AP005136.4",0
"L3MBTL4-AS1",0
"AP001033.1",0.1
"AP001381.1",0
"AP005482.3",0
"LDLRAD4-AS1",0.1
"AP005901.6",0
"HRH4",0.1
"KCTD1",0
"AC015961.1",0
"AC090241.2",0
"AC090241.3",0
"AC120349.1",0
"AC044840.1",0
"AC104365.3",0
"AC015819.2",0
"AC015819.1",0
"AC009716.1",0
"LINC00683",0
"AC104423.1",0
"AC068473.3",0
"AMH",0.1
"AC006130.3",0
"C19orf71",0
"GIPC3",0
"TMIGD2",0.1
"AC011444.2",0
"CRB3",0
"TUBB4A",0.1
"AC119396.2",0
"PCP2",0.1
"CLEC4G",0
"KANK3",0.1
"AC011451.1",0
"AC011451.3",0
"AC008752.2",0
"AC114271.1",0
"AC011472.2",0
"AC008543.3",0
"ZNF491",0.1
"AC010422.7",0
"AC008686.1",0
"RLN3",0
"OR1I1",0.1
"AC008764.3",0
"AC020913.2",0
"AC007192.2",0
"LRRC25",0.1
"CRLF1",0.1
"AC011477.9",0
"AC010300.1",0
"AC073534.2",0
"AC008736.1",0.1
"SLC7A9",0
"SCGB2B2",0
"AC020910.2",0.1
"LINC01801",0.1
"AC020928.1",0
"AC016590.1",0
"AC022148.1",0
"AC093227.1",0.1
"AC093227.3",0
"AC011479.3",0.2
"TTC9B",0
"MIA",0.1
"PCAT19",0
"LYPD3",0
"AC006213.3",0
"ZNF221",0.1
"AC006213.4",0
"APOC4",0
"AC011481.1",0
"AC074212.1",0
"DM1-AS",0
"AC007193.1",0
"PNMA8C",0
"AC011484.1",0
"AC011466.1",0
"ZNF114",0.1
"LMTK3",0.1
"MAMSTR",0.1
"IL4I1",0
"AC020909.3",0.1
"VSIG10L",0
"ZNF613",0.1
"AC010320.2",0.1
"TTYH1",0.1
"AC245884.8",0
"IL11",0
"AC008735.4",0
"AC005498.2",0
"SMIM17",0
"ZNF835",0
"AC005261.2",0
"AC020915.1",0.1
"SDCBP2",0.1
"AL136531.1",0
"AL121899.4",0
"AL121757.2",0
"LINC00654",0.1
"AL035448.1",0.1
"LINC01747",0.1
"AL121772.2",0
"NNAT",0
"AL391095.1",0.1
"AL023803.2",0.1
"Z98752.4",0
"STK4-AS1",0
"TP53TG5",0.1
"AL031663.3",0.2
"WFDC2",0.1
"SNX21",0
"AL031055.1",0.1
"AL137078.2",0
"SMIM25",0
"AL354993.1",0.1
"AC005220.1",0
"GCNT7",0
"AL109806.2",0.1
"ANKRD60",0
"CDH26",0.1
"AL357033.4",0.1
"SLCO4A1-AS1",0.1
"CU639417.4",0
"CU634019.5",0
"FP671120.4",0
"AF127936.2",0
"GRIK1",0
"AP000265.1",0
"TCP10L",0.1
"AP000317.1",0
"AP000331.1",0
"AP001432.1",0
"KCNJ6",0
"LCA5L",0
"B3GALT5-AS1",0.2
"PLAC4",0.1
"AP001610.2",0
"LINC00334",0
"AP000547.3",0
"AC007064.2",0
"HDHD5-AS1",0
"DGCR9",0
"SEPTIN5",0
"AC006547.1",0.1
"LINC00896",0
"RTN4R",0.2
"AC245060.2",0
"IGLV1-51",0
"IGLV5-45",0.1
"IGLV1-44",1.5
"IGLV3-19",2.7
"IGLV2-11",0.1
"IGLV3-9",0
"IGLV3-1",0
"IGLJ3",0
"C22orf15",0
"DDTL",0.1
"SUSD2",0
"GGT5",0
"GGT1",0
"MN1",0
"TCN2",0
"RFPL3",0
"LARGE-AS1",0
"Z73429.1",0
"AL022334.2",0
"KDELR3",0
"EP300-AS1",0
"CHADL",0
"UPK3A",0
"FBLN1",0.1
"AL117328.2",0.1
"AL034546.1",0
"U62317.1",0
"SYCE3",0
"MAPK8IP2",0
"ARSD-AS1",0
"LINC01203",0
"GLRA2",0
"INE2",0.1
"GRPR",0
"AL807742.1",0
"PTCHD1-AS",0.1
"PTCHD1",0.3
"MAGEB10",0
"LANCL3",0
"GPR34",0.4
"EFHC2",0
"AL591503.1",0
"ZNF157",0
"AC231533.1",0.1
"FOXP3",0
"USP27X-AS1",0
"NUDT10",0.1
"GPR173",0.1
"FGD1",0
"AL354793.1",0
"ASB12",0
"IGBP1-AS1",0
"CXCR3",0
"AL391294.1",0
"AL445213.2",0
"DIAPH2-AS1",0
"SYTL4",0.1
"AL021308.1",0
"PLP1",0
"AC004000.1",0.1
"AL139234.1",0
"IGSF1",0
"SPANXA2-OT1",0
"AL109653.3",0
"FMR1NB",0
"ZFP92",0.1
"TREX2",0
"PNCK",0
"SRPK3",0
"AC234781.1",0
"BX571846.1",0
"AC006040.1",0
"AC006157.1",0.1
"ZFY-AS1",0
"TMSB4Y",0.2
"NLGN4Y",0.2
"AC011751.1",0
"AC009494.2",0
"RPS4Y2",0.1
"AC007876.1",0
"AL645608.7",0
"Z98884.2",0.1
"AL357552.2",0
"LINC02606",0.1
"C1orf167",0
"PDPN",0
"CELA2A",0
"OPRD1",0
"PTPRU",0
"AL513327.3",0
"AL033527.3",0
"AGBL4",0
"AC099796.2",0
"FNDC7",0
"UBL4B",0
"SHE",0
"ILDR2",0
"LEMD1-DT",0
"LINC01740",0
"MIXL1",0.1
"OR2G6",0
"AC079779.2",0
"SLC30A3",0
"AC009236.1",0
"AC016747.3",0
"AC007389.3",0
"LBX2-AS1",0
"DQX1",0
"CD8A",0.1
"IGKV1-8",0
"IGKV1-9",0
"AC012443.2",0.1
"FAP",0
"AC019080.4",0
"AC020550.2",0
"CD28",0.1
"AC097468.3",0
"AC017104.3",0
"AC131097.2",0
"GRM7",0
"SLC6A11",0
"C3orf20",0.1
"AC090644.1",0
"LINC01811",0.2
"AC123023.1",0
"AC011816.2",0
"HHLA2",0.1
"LINC01205",0.1
"AC026329.1",0
"GRK7",0
"AC092979.1",0
"LINC00880",0
"MLF1",0.1
"LINC002481",0
"AC095057.2",0
"RASL11B",0
"ALB",0
"TIGD4",0
"AC079766.1",0
"ZDHHC11",0.1
"AC106799.3",0
"LINC02150",0
"AC091938.1",0.1
"AC022140.1",0
"LINC02109",0.1
"SLC45A2",0
"SPEF2",0.1
"AC010245.2",0
"LINC00461",0
"AC116428.1",0
"MINAR2",0
"FAXDC2",0.1
"FNDC9",0.1
"LINC01485",0
"GFPT2",0
"AL645929.2",0
"AL645933.3",0
"OOEP",0
"AL138731.1",0
"AL590608.1",0
"LINC00574",0
"AL603783.1",0.1
"AC005082.1",0
"AC005165.3",0
"INMT",0
"LINC00997",0
"AMPH",0
"GCK",0
"NPC1L1",0
"NACAD",0
"AC000065.2",0
"AC092849.2",0
"NAT16",0
"AC244472.1",0
"IQCA1L",0
"AC100797.1",0
"AC021613.1",0
"HR",0
"AC023202.1",0
"AC124290.1",0
"AC087623.3",0.1
"SLC10A5",0
"AC107909.1",0
"AC104958.1",0
"AC067930.2",0
"ELAVL2",0
"AL161912.2",0
"AL354733.2",0
"AL592463.1",0
"PRR26",0
"AL365203.2",0
"MTRNR2L5",0.1
"KCNMA1",0
"LOXL4",0
"ENO4",0.1
"AL731571.1",0
"MMP21",0
"FOXI2",0.1
"AL592071.1",0
"AC091196.1",0
"AP003108.1",0
"MIR194-2HG",0
"ACTN3",0
"AP003385.3",0
"AP002433.2",0
"LINC02550",0
"ALG9-IT1",0.1
"AP000462.3",0
"PDZD3",0
"TAS2R43",0.1
"AC092828.1",0
"OVCH1-AS1",0
"COL2A1",0
"AC073896.5",0
"AC012464.3",0
"TMEM119",0
"AC083806.2",0.1
"HNF1A",0
"AC068790.3",0.1
"AC108704.1",0
"AL138689.1",0
"RASA3-IT1",0.1
"OR5AU1",0
"AL163952.1",0
"AL359220.1",0
"AL161756.3",0
"AL122035.1",0.1
"LTBP2",0
"LINC00642",0
"IGHV3-30",0
"IGHV1-46",0
"DUOXA1",0
"AC090971.5",0.1
"AC091231.1",0.1
"AC113208.5",0
"AC091167.5",0.1
"AL031716.1",0
"IGFALS",0.1
"NAGPA-AS1",0
"ABCC11",0
"AC009054.1",0.1
"AC010536.3",0.1
"AC010536.2",0.1
"AC137932.2",0.1
"OR3A2",0
"TMEM92-AS1",0.1
"KCNJ2",0
"AC111170.2",0.1
"AC132872.5",0.1
"AC124283.3",0.1
"AC024361.1",0.1
"AC139099.2",0
"IGLJCOR18",0
"LINC01543",0
"AC007998.3",0
"AC136469.1",0
"CILP2",0
"AC002128.2",0
"AC074138.1",0.1
"AC016590.3",0
"PRX",0
"SPTBN4",0.1
"TMEM145",0
"NECTIN2",0
"AC245052.7",0
"AC012313.5",0.1
"AVP",0
"AL121895.1",0
"AL008725.1",0
"SALL4",0
"GNAS-AS1",0
"AL121832.3",0
"AL450469.1",0
"AL121845.1",0
"ZBTB46-AS1",0
"BACH1-IT3",0.1
"AP000238.1",0
"AP001053.1",0
"IGLV11-55",0
"IGLV3-16",0
"RASD2",0.1
"AL049747.1",0
"PDGFB",0
"FAM83F",0
"AL022476.1",0
"Z97055.2",0
"GPR101",0
"FAM87B",0
"AL513477.2",0
"AL139246.1",0
"PRDM16-DT",0
"AJAP1",0
"CHD5",0
"RNF207",0
"LINC00337",0
"PLEKHG5",0
"SLC45A1",0
"AL357140.4",0
"NPPA",0
"C1orf158",0
"SRARP",0
"AL021920.1",0
"AL031727.2",0
"SH2D5",0
"AL031005.1",0
"RAP1GAP",0
"IL22RA1",0
"NCMAP",0
"RHD",0
"AL513365.2",0
"SFN",0
"BX293535.1",0
"AL020997.4",0
"AL451070.1",0
"AC114488.3",0
"COL16A1",0
"AL354919.1",0
"KIAA1522",0
"AL591845.1",0.1
"AL356055.1",0
"LINC02811",0
"TMCO2",0
"SLFNL1",0
"ARTN",0
"ERI3-IT1",0
"DMBX1",0
"LINC01562",0.1
"AL050343.3",0
"LINC01771",0
"MROH7",0
"PRKAA2",0
"AC096543.1",0
"AC096543.2",0
"AL139147.1",0
"NEGR1",0
"LINC01360",0
"AK5",0
"GIPC2",0
"LINC01362",0
"LINC01712",0
"TTLL7-IT1",0
"WDR63",0
"LINC02795",0.1
"LINC01140",0
"AC099063.4",0
"AL391497.1",0
"AL161797.1",0
"AC091614.1",0
"SETSIP",0
"AC092802.4",0
"SNX7",0.1
"AL445928.2",0
"MYBPHL",0
"AC000032.1",0
"LINC02586",0
"KCNA2",0
"AL355816.1",0
"LINC01160",0
"VANGL1",0
"MAB21L3",0
"CD101",0
"FAM72D",0
"CA14",0
"CIART",0
"HORMAD1",0
"S100A5",0
"C1orf189",0
"AL592078.2",0
"AL592078.1",0
"AL355388.3",0
"AL139130.1",0
"HAPLN2",0
"AL365181.2",0
"OR10J1",0
"IGSF9",0
"AL121987.1",0
"ATP1A2",0
"NR1I3",0
"NOS1AP",0
"AL450163.1",0
"AL356441.1",0.1
"AL596087.3",0
"MAEL",0
